dir,nelect,vbm,cbm,gap,direct
Ag2Ca0.5Ba0.5Sn1S4_stannite,560,3.477539,5.401312,1.923773,True
Ag2Ca0.5Ba0.5Sn1Se4_kesterite,560,2.898423,4.292172,1.393749,True
Ag2Ca0.5Ba0.5Sn1Se4_stannite,560,3.091620,4.456436,1.364816,True
Ag2Ca0.5Ba0.5Sn1Te4_kesterite,560,3.371935,4.207718,0.835783,True
Ag2Ca0.5Ba0.5Sn1Te4_stannite,560,5.025848,6.419276,1.393428,True
Ag2Ca0.5Ba0.5Zr1S4_kesterite,544,3.334220,5.575149,2.240929,True
Ag2Ca0.5Ba0.5Zr1S4_stannite,544,2.815100,5.479576,2.664476,True
Ag2Ca0.5Ba0.5Zr1Se4_kesterite,544,2.653951,4.783834,2.129883,False
Ag2Ca0.5Ba0.5Zr1Se4_stannite,544,2.970441,4.950866,1.980425,True
Ag2Ca0.5Ba0.5Zr1Te4_stannite,544,3.222819,4.740336,1.517517,True
Ag2Ca0.5Cd0.5Ge1S4_kesterite,568,3.253315,5.031049,1.777734,True
Ag2Ca0.5Cd0.5Ge1S4_stannite,568,3.011099,4.893393,1.882294,True
Ag2Ca0.5Cd0.5Ge1Se4_kesterite,568,2.536514,3.832303,1.295789,True
Ag2Ca0.5Cd0.5Ge1Se4_stannite,568,2.706907,3.678313,0.971406,True
Ag2Ca0.5Cd0.5Ge1Te4_kesterite,568,4.618832,5.562153,0.943321,True
Ag2Ca0.5Cd0.5Ge1Te4_stannite,568,4.731244,5.511358,0.780114,True
Ag2Ca0.5Cd0.5Sn1S4_kesterite,568,3.539887,5.171042,1.631155,True
Ag2Ca0.5Cd0.5Sn1S4_stannite,568,3.626161,5.072746,1.446585,True
Ag2Ca0.5Cd0.5Sn1Se4_kesterite,568,3.195894,4.272804,1.076910,True
Ag2Ca0.5Cd0.5Sn1Se4_stannite,568,3.295828,4.197658,0.901830,True
Ag2Ca0.5Cd0.5Sn1Te4_stannite,568,5.428450,6.297599,0.869149,True
Ag2Ca0.5Cd0.5Zr1S4_kesterite,552,2.984265,5.561410,2.577145,True
Ag2Ca0.5Cd0.5Zr1S4_stannite,552,3.151635,5.383731,2.232096,True
Ag2Ca0.5Cd0.5Zr1Se4_kesterite,552,1.923939,4.099880,2.175941,True
Ag2Ca0.5Cd0.5Zr1Te4_kesterite,552,4.747015,6.063625,1.316610,True
Ag2Ca0.5Cd0.5Zr1Te4_stannite,552,4.749304,5.937053,1.187749,True
Ag2Ca0.5Sr0.5Ge1S4_kesterite,560,3.034861,5.005127,1.970266,False
Ag2Ca0.5Sr0.5Ge1S4_stannite,560,3.013659,5.527284,2.513625,True
Ag2Ca0.5Sr0.5Ge1Se4_kesterite,560,2.196268,3.876309,1.680041,False
Ag2Ca0.5Sr0.5Ge1Se4_stannite,560,2.593622,4.174971,1.581349,True
Ag2Ca0.5Sr0.5Ge1Te4_stannite,560,4.374626,5.767703,1.393077,True
Ag2Ca0.5Sr0.5Sn0.5Ge0.5S2Te2_kesterite,560,3.381213,4.476757,1.095544,True
Ag2Ca0.5Sr0.5Sn1S4_kesterite,560,3.274929,5.251200,1.976271,False
Ag2Ca0.5Sr0.5Sn1S4_stannite,560,3.198692,5.034423,1.835731,True
Ag2Ca0.5Sr0.5Sn1Se4_kesterite,560,2.918118,4.325773,1.407655,True
Ag2Ca0.5Sr0.5Sn1Se4_stannite,560,3.071776,4.439878,1.368102,True
Ag2Ca0.5Sr0.5Sn1Te4_kesterite,560,4.961012,6.175962,1.214950,True
Ag2Ca0.5Sr0.5Sn1Te4_stannite,560,3.453662,4.677983,1.224321,True
Ag2Ca0.5Sr0.5Zr1S4_kesterite,544,3.322556,5.612327,2.289771,False
Ag2Ca0.5Sr0.5Zr1S4_stannite,544,3.173833,5.790627,2.616794,True
Ag2Ca0.5Sr0.5Zr1Se4_kesterite,544,2.815103,4.800211,1.985108,False
Ag2Ca0.5Sr0.5Zr1Se4_stannite,544,2.734373,4.937475,2.203102,True
Ag2Ca0.5Sr0.5Zr1Te4_kesterite,544,4.471086,6.027947,1.556861,False
Ag2Ca0.5Sr0.5Zr1Te4_stannite,544,4.776660,5.984477,1.207817,True
Ag2Ca0.5Zn0.5Ge1S4_kesterite,568,3.195930,5.249125,2.053195,False
Ag2Ca0.5Zn0.5Ge1S4_stannite,568,3.163228,4.947273,1.784045,True
Ag2Ca0.5Zn0.5Ge1Se4_kesterite,568,2.606682,3.939481,1.332799,True
Ag2Ca0.5Zn0.5Ge1Se4_stannite,568,2.850298,3.675047,0.824749,True
Ag2Ca0.5Zn0.5Ge1Te4_kesterite,568,4.650011,5.587821,0.937810,True
Ag2Ca0.5Zn0.5Ge1Te4_stannite,568,4.708946,5.222252,0.513306,True
Ag2Ca0.5Zn0.5Sn1S4_kesterite,568,3.270047,4.930770,1.660723,True
Ag2Ca0.5Zn0.5Sn1S4_stannite,568,3.715959,5.040120,1.324161,True
Ag2Ca0.5Zn0.5Sn1Se4_kesterite,568,3.103960,4.201587,1.097627,True
Ag2Ca0.5Zn0.5Sn1Se4_stannite,568,3.257884,4.024079,0.766195,True
Ag2Ca0.5Zn0.5Sn1Te4_kesterite,568,5.199026,6.203063,1.004037,True
Ag2Ca0.5Zn0.5Sn1Te4_stannite,568,5.295833,5.976974,0.681141,True
Ag2Ca0.5Zn0.5Zr1S4_kesterite,552,3.385051,5.572510,2.187459,True
Ag2Ca0.5Zn0.5Zr1S4_stannite,552,3.480635,5.391886,1.911251,True
Ag2Ca0.5Zn0.5Zr1Se4_kesterite,552,2.785452,4.682928,1.897476,True
Ag2Ca0.5Zn0.5Zr1Se4_stannite,552,2.857913,4.481343,1.623430,False
Ag2Ca0.5Zn0.5Zr1Te4_kesterite,552,4.696499,5.891058,1.194559,True
Ag2Ca0.5Zn0.5Zr1Te4_stannite,552,4.626774,5.744283,1.117509,True
Ag2Ca1Ge0.5Zr0.5S4_kesterite,552,3.102040,5.288422,2.186382,True
Ag2Ca1Ge0.5Zr0.5S4_stannite,552,3.021461,5.443917,2.422456,False
Ag2Ca1Ge0.5Zr0.5Se4_kesterite,552,2.418998,4.111301,1.692303,True
Ag2Ca1Ge0.5Zr0.5Se4_stannite,552,2.462919,4.249681,1.786762,False
Ag2Ca1Ge0.5Zr0.5Te4_kesterite,552,3.188192,4.247575,1.059383,False
Ag2Ca1Ge0.5Zr0.5Te4_stannite,552,4.050723,5.413679,1.362956,True
Ag2Ca1Ge1S1Se1Te2_kesterite,560,3.738950,4.665139,0.926189,False
Ag2Ca1Ge1S1Se1Te2_stannite,560,3.469135,4.746011,1.276876,True
Ag2Ca1Ge1S1Se3_kesterite,560,1.984303,3.915725,1.931422,True
Ag2Ca1Ge1S1Se3_stannite,560,3.114619,4.657411,1.542792,True
Ag2Ca1Ge1S1Te3_kesterite,560,3.463610,4.498925,1.035315,True
Ag2Ca1Ge1S1Te3_stannite,560,4.243900,5.493097,1.249197,True
Ag2Ca1Ge1S2Se1Te1_kesterite,560,3.571421,4.512601,0.941180,True
Ag2Ca1Ge1S2Se1Te1_stannite,560,3.642779,5.110736,1.467957,True
Ag2Ca1Ge1S2Se2_kesterite,560,2.173902,4.293354,2.119452,False
Ag2Ca1Ge1S2Se2_stannite,560,2.997896,5.018055,2.020159,True
Ag2Ca1Ge1S2Te2_stannite,560,4.340594,5.794570,1.453976,True
Ag2Ca1Ge1S3Te1_kesterite,560,4.215513,5.192609,0.977096,True
