compound,defect,cdir,nelect,F,conv,lat_match
Ag1Al1S2_kesterite,V_S,Charged+2,1864,-.13829307E+04,1,0
Ag1Al1S2_kesterite,V_S,Charged-1,1867,-.13673662E+04,1,0
Ag1Al1S2_kesterite,V_S,Charged-2,1868,-.13611866E+04,1,0
Ag1Al1S2_kesterite,V_S,Neutral,1866.0000,-.13736526E+04,1,0
Ag1Al1S2_stannite,Al_S,Charged+1,1868,-.13718300E+04,1,0
Ag1Al1S2_stannite,Al_S,Charged+2,1867,-.13767048E+04,1,0
Ag1Al1S2_stannite,Al_S,Charged-1,1870,-.13609193E+04,1,0
Ag1Al1S2_stannite,Al_S,Charged-2,1871,-.13546755E+04,1,0
Ag1Al1S2_stannite,Al_S,Neutral,1869.0000,-.13663951E+04,1,0
Ag1Al1S2_stannite,V_S,Charged+1,1865,-.13687558E+04,1,0
Ag1Al1S2_stannite,V_S,Charged+2,1864,-.13732616E+04,1,0
Ag1Al1S2_stannite,V_S,Charged-1,1867,-.13580233E+04,1,0
Ag1Al1S2_stannite,V_S,Charged-2,1868,-.13518359E+04,1,0
Ag1Al1S2_stannite,V_S,Neutral,1866.0000,-.13639999E+04,1,0
Ag1Al1Se1Te1_kesterite,HSE,.,1872.0000,-.13595528E+04,1,1
Ag1Al1Se1Te1_stannite,HSE,.,1872.0000,-.13460036E+04,1,1
Ag1Al1Se2_kesterite,Al_i,Charged+1,1874,-.12499283E+04,1,0
Ag1Al1Se2_kesterite,Al_i,Charged+2,1873,-.12527894E+04,1,0
Ag1Al1Se2_kesterite,Al_i,Charged-1,1876,-.12391752E+04,1,0
Ag1Al1Se2_kesterite,Al_i,Charged-2,1877,-.12402346E+04,1,0
Ag1Al1Se2_kesterite,Al_i,Neutral,1875.0000,-.12490811E+04,1,0
Ag1Al1Se2_kesterite,V_Se,Charged+1,1865,-.12482122E+04,1,0
Ag1Al1Se2_kesterite,V_Se,Charged+2,1864,-.12530360E+04,1,0
