compound,d_eform,d_edec,d_eps,d_slme,pass
Ag2Ca0.5Sr0.5Zr1Se4_kesterite,7.499999288285153e-09,5.99999978589949e-08,3.333333253863202e-08,0.0,True
Ag2Ca0.5Sr0.5Zr1Se4_stannite,3.7812500242040414e-08,3.0249999838360964e-07,3.333333253863202e-08,0.0,True
Ag2Ca0.5Sr0.5Zr1Te4_kesterite,5.687499937678808e-08,4.5499999856701834e-07,3.333333342681044e-08,0.0,True
Ag2Ca0.5Sr0.5Zr1Te4_stannite,2.999999937358666e-08,2.3999999854140697e-07,8.881784197001252e-16,0.0,True
Ag2Ca0.5Zn0.5Ge1S4_kesterite,4.440892098500626e-16,0.0,3.333333342681044e-08,0.0,True
Ag2Ca0.5Zn0.5Ge1S4_stannite,1.4062497832867393e-09,1.1250001819007593e-08,3.333333342681044e-08,0.0,True
Ag2Ca0.5Zn0.5Ge1Se4_kesterite,2.7343749486874458e-08,2.1874999589499566e-07,8.881784197001252e-16,0.0,True
Ag2Ca0.5Zn0.5Ge1Se4_stannite,7.343750052513087e-08,5.87500004201047e-07,3.333333342681044e-08,0.004000000000001336,True
Ag2Ca0.5Zn0.5Ge1Te4_kesterite,1.2187500342264457e-08,9.749999918540198e-08,8.881784197001252e-16,0.0,True
Ag2Ca0.5Zn0.5Ge1Te4_stannite,3.937500014927764e-08,3.150000011942211e-07,3.333333253863202e-08,0.0034999999999989484,True
Ag2Ca0.5Zn0.5Sn1S4_kesterite,6.171875011062866e-08,4.937500008850293e-07,3.333333342681044e-08,0.0,True
Ag2Ca0.5Zn0.5Sn1S4_stannite,7.812497315740075e-10,6.24999785259206e-09,3.333333342681044e-08,0.0,True
Ag2Ca0.5Zn0.5Sn1Se4_kesterite,3.734374987018896e-08,2.98749995408798e-07,3.333333342681044e-08,0.0,True
Ag2Ca0.5Zn0.5Sn1Se4_stannite,6.000000096761937e-08,4.800000112936686e-07,3.333333342681044e-08,0.0,True
Ag2Ca0.5Zn0.5Sn1Te4_kesterite,7.468749974037792e-08,5.974999979230233e-07,3.333333342681044e-08,0.0,True
Ag2Ca0.5Zn0.5Sn1Te4_stannite,7.578125060803131e-08,6.062500048642505e-07,0.0,0.0,True
Ag2Ca0.5Zn0.5Zr1S4_kesterite,8.750001168067456e-09,7.000000579182597e-08,0.0,0.0,True
Ag2Ca0.5Zn0.5Zr1S4_stannite,4.281249976756385e-08,3.425000016932245e-07,4.440892098500626e-16,0.0,True
Ag2Ca0.5Zn0.5Zr1Se4_kesterite,5.312499995469011e-08,4.2500000319023457e-07,3.333333342681044e-08,0.0,True
Ag2Ca0.5Zn0.5Zr1Se4_stannite,7.437500082474457e-08,5.950000101506703e-07,8.881784197001252e-16,0.0,True
Ag2Ca0.5Zn0.5Zr1Te4_kesterite,7.718750083540726e-08,6.175000137886855e-07,0.0,0.0,True
Ag2Ca0.5Zn0.5Zr1Te4_stannite,5.468749897374892e-09,4.3749992073571775e-08,3.333333431498886e-08,0.0,True
Ag2Ca1Ge0.5Zr0.5S4_kesterite,2.0937499733975073e-08,1.674999978718006e-07,3.333333342681044e-08,0.0,True
Ag2Ca1Ge0.5Zr0.5S4_stannite,2.9218750086101863e-08,2.337500006888149e-07,0.0,0.0,True
Ag2Ca1Ge0.5Zr0.5Se4_kesterite,1.4218750621353138e-08,1.1374999786539775e-07,3.333333342681044e-08,0.0,True
