compound,structure,eform_ev_atom,edecomp_ev_fu,gap_prescreen_ev,theory
Ag2Ca0.5Cd0.5Ge1Te4,stannite,-0.1682,,0.285,PBEsol
Ag2Ca0.5Cd0.5Sn1S4,kesterite,-0.4911,0.26,0.777,PBEsol
Ag2Ca0.5Cd0.5Sn1S4,stannite,-0.4903,0.2666,0.598,PBEsol
Ag2Ca0.5Cd0.5Sn1Se4,kesterite,-0.4274,0.639,0.349,PBEsol
Ag2Ca0.5Cd0.5Sn1Se4,stannite,-0.427,0.6427,0.195,PBEsol
Ag2Ca0.5Cd0.5Sn1Te4,stannite,-0.1348,,0.381,PBEsol
Ag2Ca0.5Cd0.5Zr1S4,kesterite,-0.8345,0.9325,1.561,PBEsol
Ag2Ca0.5Cd0.5Zr1S4,stannite,-0.8349,0.929,1.243,PBEsol
Ag2Ca0.5Cd0.5Zr1Se4,kesterite,-0.7204,1.2512,1.248,PBEsol
Ag2Ca0.5Cd0.5Zr1Se4,stannite,-0.7224,1.2354,0.937,PBEsol
Ag2Ca0.5Cd0.5Zr1Te4,kesterite,-0.2891,2.4806,0.811,PBEsol
Ag2Ca0.5Cd0.5Zr1Te4,stannite,-0.2914,2.4625,0.562,PBEsol
Ag2Ca0.5Sr0.5Ge1S4,kesterite,-0.6537,0.2621,1.272,PBEsol
Ag2Ca0.5Sr0.5Ge1S4,stannite,-0.6916,-0.0414,1.391,PBEsol
Ag2Ca0.5Sr0.5Ge1Se4,kesterite,-0.5584,0.7371,0.815,PBEsol
Ag2Ca0.5Sr0.5Ge1Se4,stannite,-0.5907,0.4783,0.851,PBEsol
Ag2Ca0.5Sr0.5Ge1Te4,stannite,-0.3005,,0.873,PBEsol
Ag2Ca0.5Sr0.5Sn0.5Ge0.5S2Te2,kesterite,-0.4738,,0.55,PBEsol
Ag2Ca0.5Sr0.5Sn1S4,kesterite,-0.6433,0.6212,1.125,PBEsol
Ag2Ca0.5Sr0.5Sn1S4,stannite,-0.685,0.2877,1.053,PBEsol
Ag2Ca0.5Sr0.5Sn1Se4,kesterite,-0.5611,1.0916,0.695,PBEsol
Ag2Ca0.5Sr0.5Sn1Se4,stannite,-0.578,0.9567,0.651,PBEsol
Ag2Ca0.5Sr0.5Sn1Te4,kesterite,-0.22,,0.722,PBEsol
Ag2Ca0.5Sr0.5Sn1Te4,stannite,-0.3954,,0.705,PBEsol
Ag2Ca0.5Sr0.5Zr1S4,kesterite,-0.998,1.2033,1.719,PBEsol
Ag2Ca0.5Sr0.5Zr1S4,stannite,-1.0105,1.1026,1.624,PBEsol
Ag2Ca0.5Sr0.5Zr1Se4,kesterite,-0.8457,1.771,1.424,PBEsol
Ag2Ca0.5Sr0.5Zr1Se4,stannite,-0.8536,1.7078,1.302,PBEsol
Ag2Ca0.5Sr0.5Zr1Te4,kesterite,-0.4067,2.9067,0.928,PBEsol
